,ht,nmt1,nmt2,penmt1,penmt2,pesmt1,pesmt2,pesmt3,smt1,smt2,smt3,src
502,Un ado sur cinq ne va pas du tout en cours les jours où il ne se sent pas bien .,Une personne sur cinq ne montre pas de cours du tout à l&apos; époque où ils ne se sentent pas bien à ce sujet .,Un sur cinq ne se montre pas en classe à tous les jours quand ils ne se sentent pas bien à ce sujet .,Un adolescent sur cinq peut ne pas aller en classe pendant des jours s&apos; il ne s&apos; y sent pas à l&apos; aise .,Un sur cinq ne vont pas en classe du tout les jours où ils ne se sentent pas bien à ce sujet .,Un sur cinq ne va pas en classe du tout les jours où ils ne se sentent pas bien à ce sujet .,Un sur cinq ne va pas du tout en classe les jours où il ne se sent pas bien par rapport à cela .,Une personne sur cinq ne va pas en classe du tout les jours où ils ne se sentent pas bien pour le faire .,Un sur cinq sont en classe parce qu&apos; ils n&apos; étaient pas du tout les jours où ils ne se sentent pas bien à ce sujet .,Un sur cinq ne sont pas à l&apos; affiche jusqu&apos; à la classe du tout les jours où ils ne se sentent pas bien à ce sujet .,Une personne sur cinq ne sont pas montrant jusqu&apos; à classe du tout le temps où ils ne se sentent pas bien comme ça .,One in five are not showing up to class at all on days when they don &apos;t feel good about it .
503,"En ce qui concerne les examens , si vous ne vous trouvez pas assez beau , particulièrement si vous pensez ne pas être assez mince , vous aurez en moyenne un point de moins que vos camarades qui ne s&apos; en inquiètent pas .","Et quand il s&apos; agit d&apos; examens , si vous ne pensez pas que vous êtes assez bon , spécifiquement si vous ne pensez pas que vous êtes assez minces , vous allez marquer un point de note inférieur à celui de vos pairs qui ne sont pas préoccupés par cela .","Et quand il s&apos; agit des examens , si vous ne pensez pas que vous avez l&apos; air assez bien , en particulier si vous ne pensez pas que vous êtes assez mince , vous obtenez une moyenne de note inférieure à celle de vos pairs qui ne sont pas concernés par ça .","Et quand il s&apos; agit d&apos; examens , si vous ne pensez pas que votre apparence n&apos; est pas suffisamment bonne , spécifiquement si vous ne pensez pas que vous êtes assez mince , vous recevrez une moyenne d&apos; un point inférieur à celle de vos pairs qui ne s&apos; en soucie pas .","Et quand il s&apos; agit des examens , si vous ne pensez pas que vous avez l&apos; air assez bien , en particulier si vous ne pensez pas que vous êtes assez mince , vous obtenez une moyenne de note inférieure à celle de vos pairs qui ne sont pas concernés par ça .","Et lorsqu&apos; il y a des examens , si vous pensez ne pas être assez bien physiquement , en particulier si vous pensez ne pas être assez mince , vous aurez en moyenne une note inférieure à celle de vos camarades qui ne sont pas concernés par ce problème .","Et quand on en vient aux examens , si vous ne pensez pas que vous avez l&apos; air assez bien , surtout si vous ne pensez pas que vous êtes assez mince , vous marquerez une moyenne cumulative inférieure à vos pairs qui ne sont pas concernés par cela .","Et quand il s&apos; agit d&apos; examens , si vous pensez que vous n&apos; êtes pas assez bien , en particulier si vous pensez que vous n&apos; êtes pas assez mince , vous aurez une moins bonne note que vos camarades qui ne s&apos; en soucient pas .","Et quand il s&apos; agit d&apos; examens , si vous ne pensez pas que vous regardez assez bien , en particulier si vous ne pensez pas que vous êtes assez mince , vous allez score une moyenne inférieure que vos pairs qui ne sont pas concernés par cette .","Et quand il vient aux examens , si vous ne pensez pas que vous regardez assez bon , surtout si vous ne pensez pas que vous êtes assez mince , vous marquerez une moyenne cumulative inférieure à vos pairs qui ne sont pas concernés par cela .","Et quand il s&apos; agit d&apos; examens , si vous ne pensez pas vous regardez assez bons , spécialement si vous ne pensez pas que vous êtes assez mince , vous allez marquer un point faible qualité de vos pairs qui ne sont pas à ça .","And when it comes to exams , if you don &apos;t think you look good enough , specifically if you don &apos;t think you are thin enough , you will score a lower grade point average than your peers who are not concerned with this ."
504,"Et ceci est valable en Finlande , aux États-Unis , en Chine ,","Et cela est cohérent à travers la Finlande , les États-Unis","Et ceci est cohérent à travers la Finlande , les États-Unis .","Et cela est cohérent à travers la Finlande , les États-Unis","Et cela est conséquent à travers la Finlande , les États-Unis","Et c&apos; est cohérent dans toute la Finlande , les États-Unis","Et on observe le même phénomène en Finlande , aux États-Unis","Et c&apos; est cohérent à travers la Finlande , les États-Unis .","Et c&apos; est cohérent dans toute la Finlande , les États-Unis","Et cela est cohérent à travers la Finlande , les États-Unis","Et c&apos; est cohérent à travers la Finlande , les États-Unis .","And this is consistent across Finland , the U.S."
505,et vrai quel que soit votre poids .,"Et la Chine , et est vraie quelle que soit la quantité que vous pesez .","Et la Chine , et c&apos; est vrai , quelle que soit la quantité que vous .","et la Chine , et c&apos; est vrai quel que soit votre poids réel .","et la Chine , et c&apos; est vrai , quel que soit votre poids .","et en Chine , et ce quel que soit votre poids .","et la Chine , et c&apos; est vrai , peu importe combien vous pesez effectivement .",et la Chine et c&apos; est vrai indépendamment de combien vous pesez .,"et la Chine , et est vrai quelle que soit la quantité de vous en fait peser .","et la Chine , et est vrai , peu importe combien vous pesez effectivement .","et la Chine , et est vrai indépendamment de combien vous peser .","and China , and is true regardless of how much you actually weigh ."
506,"Pour être vraiment clair , nous parlons de ce que vous pensez de votre allure et non de votre allure réelle .","Pour être très clair , nous parlons de la façon dont vous pensez que vous regardez , pas comment vous regardez réellement .","Pour être très clair , nous parlons de la façon dont vous pensez que vous regardez , pas comment vous regardez .","Pour être très clair , nous parlons de la façon dont vous percevez votre propre apparence , et non de votre apparence réelle .","Pour être très clair , nous parlons de ce à quoi vous pensez que vous ressemblez , pas ce à quoi vous ressemblez effectivement .","Donc , pour être clair , nous parlons de l&apos; apparence que vous pensez avoir , pas de celle que vous avez vraiment .","Donc , pour être super clair , nous parlons de la façon dont vous percevez votre apparence , et non de votre apparence réelle .","Donc pour être très clair , nous parlons de ce à quoi vous pensez avoir l&apos; air , pas de ce à quoi vous ressemblez réellement .","Donc , pour être clair , on parle de la façon dont vous pensez que vous regardez , pas comment vous regardez .","Donc , pour être super clair , nous parlons de la façon dont vous pensez que vous regardez , comment vous regardez réellement .","Donc pour être très clair , nous parlons de la façon dont vous pensez que vous regardez , pas comment vous regarderez .","So to be super clear , we &apos;re talking about the way you think you look , not how you actually look ."
507,Une faible confiance en votre corps diminue votre réussite académique .,La confiance du corps est en train de saper la réussite scolaire .,La confiance du corps faible est en train de saper la réussite académique .,La faible confiance en son corps est en train de saper la réussite scolaire .,Une faible confiance en soi ébranle la réussite académique .,Une faible estime de on physique sape la réussite scolaire .,La réussite scolaire est affectée lorsque l&apos; on complexé par son apparence physique .,Un manque de confiance dans son corps sape la réussite scolaire .,Low corps confiance sape le rendement scolaire .,Faible confiance du corps compromet la réussite scolaire .,Low corps confiance est de saper la réussite scolaire .,Low body confidence is undermining academic achievement .
508,Mais cela détériore aussi la santé .,Mais c&apos; est aussi une bonne santé .,Mais c&apos; est aussi une santé destructrice .,Mais cela endommage également la santé .,Mais ça détruit aussi la santé .,"Mais , c&apos; est aussi préjudiciable à la santé .",Ce complexe affecte également la santé .,Mais elle endommage aussi la santé .,Mais c&apos; est aussi préjudiciable santé .,Mais il est aussi la santé dommageable .,Mais c&apos; est aussi endommager santé .,But it &apos;s also damaging health .
509,"Les adolescents qui ont peu confiance en leur corps , font moins de sport , mangent moins de fruits et légumes , se prêtent plus à des pratiques malsaines de contrôle du poids qui peuvent amener des désordres alimentaires .","Les adolescents avec une confiance de corps faible font moins d&apos; activité physique , mangent moins de fruits et légumes , participent à des pratiques de contrôle de poids plus saines qui peuvent conduire à des troubles de l&apos; alimentation .","Les adolescents avec une faible confiance du corps font moins d&apos; activité physique , mangent moins de fruits et de légumes , participent à des pratiques de contrôle de poids plus qui peuvent conduire à des troubles de l&apos; alimentation .","Les adolescents avec une faible confiance en soi font moins d&apos; activité physique , mangent moins de fruits et légumes , participent à des pratiques de contrôle de poids malsaines qui peuvent conduire à des troubles de l&apos; alimentation .","Les adolescents qui sont complexés par leur apparence physique font moins de sport , mangent moins de fruits et de légumes et adoptent des pratiques de contrôle de poids mauvaises pour la santé et qui peuvent conduire à des troubles de l&apos; alimentation .","Les adolescents ayant un manque de confiance dans leur corps font moins d&apos; activité physique , mangent moins de fruits et de légumes , ont des pratiques de contrôle du poids moins saines qui peuvent entraîner des troubles de l&apos; alimentation .","Les adolescents ayant une faible confiance en leur corps font moins d&apos; activité physique , mangent moins de fruits et légumes , participent à des pratiques de contrôle de poids plus malsaines qui peuvent conduire à des troubles de l&apos; alimentation .","Les adolescents avec une faible estime de leur physique font moins activité physique , mangent moins de fruits et de légumes , participent à plus de pratiques malsaines de contrôle de poids qui peuvent conduire à des troubles alimentaires .","Les adolescents ayant un faible corps confiance faire moins d&apos; activité physique , manger moins de fruits et de légumes , je crois que ce n&apos; est que dans plus de contrôle du poids malsains pratiques qui peuvent entraîner des troubles de l&apos; alimentation .","Les adolescents ayant une faible confiance en son corps font moins d&apos; activité physique , manger moins de fruits et légumes , participent à des pratiques de contrôle de poids plus malsains qui peuvent conduire à des troubles de l&apos; alimentation .","Les adolescents de corps confiance faire moins activité physique , manger moins fruits et légumes , participer à plus de poids malsaine pratiques de contrôle qui peuvent conduire à des troubles .","Teenagers with low body confidence do less physical activity , eat less fruits and vegetables , partake in more unhealthy weight control practices that can lead to eating disorders ."
510,Et nous n&apos; en sortons pas avec l&apos; âge .,Et nous ne grandissons pas .,Et on ne s&apos; en sort pas .,Et nous ne grandissons pas avec cela .,Et on ne s&apos; en sort pas .,Et on ne s&apos; en sort pas .,Et il est difficile d&apos; en sortir .,Et cela ne change pas avec l&apos; âge .,Et nous ne poussent pas en dehors de ça .,Et nous ne cultivons pas hors de lui .,Et nous ne pas .,And we don &apos;t grow out of it .
511,"Les femmes qui pensent être en surpoids -- à nouveau , qu&apos; elles le soient ou non -- ont des taux d&apos; absentéisme plus élevés .","Les femmes qui pensent qu&apos; elles sont en surpoids , encore une fois , indépendamment de savoir s&apos; ils sont ou ne sont pas , ont des taux élevés d&apos; absentéisme .","Les femmes qui pensent qu&apos; elles sont en surpoids -- encore une fois , peu importe si elles sont ou non , ont des taux d&apos; absentéisme plus élevés .","Les femmes qui pensent qu&apos; elles sont en surpoids , encore une fois , indépendamment du fait qu&apos; elles le soient ou non , ont des taux élevés d&apos; absentéisme .","Les femmes qui pensent qu&apos; elles sont en surpoids -- encore une fois , peu importe si elles le sont ou non -- ont des taux d&apos; absentéisme plus élevés .","Les femmes qui pensent être en surpoids - encore une fois , indépendamment du fait qu&apos; elles le soient ou pas - ont des taux plus élevés d&apos; absentéisme .","Les femmes qui pensent qu&apos; elles sont en surpoids - encore une fois , indépendamment du fait qu&apos; elles le soient ou non - ont des taux plus élevés d&apos; absentéisme .","Les femmes qui pensent qu&apos; elles sont en surpoids , encore une fois , peu importe qu&apos; elles le soient ou pas , ont des taux d&apos; absentéisme plus importants .","Les femmes qui pensent qu&apos; ils sont en surpoids - encore une fois , indépendamment du fait qu&apos; elles sont ou ne sont pas - ont des taux plus élevés d&apos; absentéisme .","Les femmes qui pensent qu&apos; ils sont en surpoids - encore une fois , indépendamment du fait qu&apos; ils soient ou non - ont des taux plus élevés d&apos; absentéisme .","Les femmes qui pensent qu&apos; ils sont en surpoids - encore une fois , peu importe qu&apos; ils soient - ont des taux élevés de ans .","Women who think they &apos;re overweight - again , regardless of whether they are or are not - have higher rates of absenteeism ."
512,17 % des femmes n&apos; iraient pas à un entretien d&apos; embauche un jour où elles ne se sentent pas en confiance vis-à-vis de leur apparence .,17 % des femmes ne se montreraient pas à un entretien d&apos; embauche un jour où ils ne se sentaient pas sûrs de la façon dont ils ont l&apos; air .,17 % des femmes ne se pas à un entretien d&apos; embauche un jour où ils ne se sentaient pas confiants quant à leur apparence .,Dix sept pour cent des femmes ne se présentent pas à un entretien d&apos; embauche lorsqu&apos; elles sont complexées par leur apparence physique .,17 % des femmes ne se présentent pas à un entretien d&apos; embauche un jour où elles ne se sentaient pas confiantes quant à leur apparence .,Dix-sept pour cent des femmes n&apos; iraient pas à un entretien d&apos; embauche un jour où elles ne se sentiraient pas en confiance par rapport à ce à quoi elles ressemblent .,Dix-sept pour cent des femmes ne se présentent pas à un entretien d&apos; embauche un jour où elles ne se sentent pas confiantes quant à la façon dont elles paraissent .,17 % des femmes n&apos; iraient pas à un entretien d&apos; embauche un jour où elles ne se sentent pas confiantes quant à leur apparence .,Dix-sept pour cent des femmes ne se verraient pas à un entretien d&apos; embauche un jour où ils ne se sentaient pas confiance dans la façon dont elles ont l&apos; air .,Dix-sept pour cent des femmes ne serait pas montrer à un entretien d&apos; embauche sur un jour où ils ne se sentaient pas confiants quant à la façon dont ils regardent .,17 % des femmes ne viennent à un entretien d&apos; embauche sur un jour où ils n&apos; étaient pas sentais confiant sur la façon dont ils ont l&apos; air .,Seventeen percent of women would not show up to a job interview on a day when they weren &apos;t feeling confident about the way that they look .
513,Réfléchissez à ce que cela fait à notre économie .,Pensez à ce que cela fait à notre économie .,Réfléchissez à ce que cela fait à notre économie .,Pensez à ce que cela fait à notre économie .,Réfléchissez aux répercussions que cela peut avoir sur notre économie .,Pensez à ce que ça fait à notre économie .,Pensez à l&apos; effet que cela a sur notre économie .,Pensez à ce que c&apos; est en train de faire à notre économie .,Réfléchissez à une ce que ça fait à notre économie .,Have a penser à ce que cela fait pour notre économie .,Ayez un penser à ce que c&apos; est en train de faire à notre économie .,Have a think about what this is doing to our economy .
514,Je vais vous parler aujourd&apos; hui des 30 dernières années de l&apos; histoire architecturale .,Aujourd&apos; hui je vais vous parler des 30 dernières années de l&apos; histoire architecturale .,"Aujourd&apos; hui , je vais vous parler des 30 dernières années de l&apos; histoire architecturale .",Aujourd&apos; hui je vais vous parler des 30 dernières années de l&apos; histoire de l&apos; architecture .,"Aujourd&apos; hui , je vais vous parler des 30 dernières années de l&apos; histoire architecturale .",Aujourd&apos; hui je vais vous parler des 30 dernières années de l&apos; histoire de l&apos; architecture .,"Aujourd&apos; hui , je vais vous parler des 30 dernières années de l&apos; histoire architecturale .",Aujourd&apos; hui je vais vous parler des 30 dernières années de l&apos; histoire architecturale .,Aujourd &apos; hui je vais vous parler de ces 30 dernières années de l&apos; histoire de l&apos; architecture .,"Aujourd&apos; hui , je vais vous parler des 30 dernières années de l&apos; histoire architecturale .",Aujourd&apos; hui je vais vous parler de les 30 dernières années de l&apos; histoire architecturale .,Today I &apos;m going to speak to you about the last 30 years of architectural history .
515,Ça fait beaucoup à faire tenir en 18 minutes .,C&apos; est beaucoup à faire en 18 minutes .,C&apos; est beaucoup à faire en 18 minutes .,C&apos; est beaucoup à condenser en 18 minutes .,Ça fait beaucoup pour 18 minutes .,C&apos; est beaucoup pour 18 minutes .,Cela fait beaucoup à faire tenir en 18 minutes .,C&apos; est une chose difficile à faire en 18 minutes .,C&apos; est beaucoup pour dans 18 minutes .,Cela fait beaucoup pour emballer en 18 minutes .,C&apos; est beaucoup de meute en 18 minutes .,That &apos;s a lot to pack into 18 minutes .
516,"C&apos; est un sujet complexe , nous allons donc aller directement dans un endroit complexe : le New Jersey .","C&apos; est un sujet complexe , donc nous allons juste plonger directement dans un endroit complexe : Le New Jersey .","C&apos; est un sujet complexe , donc nous allons juste plonger dans un endroit complexe : le New Jersey .","C&apos; est un sujet complexe , donc nous allons juste plonger directement dans un endroit complexe : Le New Jersey .","C&apos; est un sujet complexe , donc nous allons juste plonger dans un endroit complexe : le New Jersey .","C&apos; est un sujet complexe , donc nous allons directement nous plonger tout de suite dans un endroit complexe : le New Jersey .","C&apos; est un sujet complexe , donc nous allons simplement plonger directement dans un lieu complexe : le New Jersey .","C&apos; est un sujet complexe , donc nous allons plonger en plein dans un lieu complexe : le New Jersey .","C&apos; est un sujet complexe , donc nous allons juste plonger dedans tout de suite à un endroit complexe : le New Jersey .","Il est un sujet complexe , donc nous allons simplement plonger en plein dans un lieu complexe : New Jersey .","C&apos; est un sujet complexe , donc nous allons plonger en plein dans un lieu complexe : New Jersey .","It &apos;s a complex topic , so we &apos;re just going to dive right in at a complex place : New Jersey ."
517,"J&apos; en suis , et il y a 30 ans , j&apos; avais 6 ans , je vivais dans la maison de mes parents , dans une ville appelée Livingston . Voici ma chambre à l&apos; époque .","Il y a 30 ans , je suis du New Jersey , et j&apos; avais six ans , et j&apos; ai vécu là-bas dans la maison de mes parents dans une ville appelée Livingston , et c&apos; était ma chambre d&apos; enfance .","Parce qu&apos; il y a 30 ans , je suis du New Jersey , et j&apos; avais six ans , et j&apos; ai vécu là-bas dans la maison de mes parents dans une ville appelée , et c&apos; était ma chambre d&apos; enfance .","Il y a 30 ans , je suis du New Jersey , et j&apos; avais six ans , et j&apos; ai vécu là-bas dans la maison de mes parents dans une ville appelée Livingston , et c&apos; était ma chambre d&apos; enfance .","Parce qu&apos; il y a 30 ans , je suis du New Jersey , et j&apos; avais six ans , et j&apos; ai vécu là-bas dans la maison de mes parents dans une ville appelée Livingston , et c&apos; était la chambre de mon enfance .","Parce qu&apos; il y a 30 ans , je suis du New Jersey , et j&apos; avais six ans , et je vivais là-bas dans la maison de mes parents dans une ville appelée Livingston , et c&apos; était ma chambre d&apos; enfant .","Parce que il y a 30 ans , je suis du Jersey , j&apos; avais six ans , et j&apos; y ai vécu dans la maison de mes parents dans une ville appelée Livingston , et voici ma chambre d&apos; enfant .","Parce qu&apos; il y a 30 ans , je suis de Jersey , j&apos; avais six et je vivais dans la maison de mes parents dans une ville appelée Livingston et ça c&apos; était ma chambre .","Parce qu&apos; il y a 30 ans , je suis du New Jersey , et j&apos; ai été six , et j&apos; y ai vécu dans la maison de mes parents dans une ville appelée Livingston , et c&apos; était ma chambre d&apos; enfant .","Parce que il y a 30 ans , je suis de Jersey , et j&apos; avais six ans , et j&apos; y ai vécu dans la maison de mes parents dans une ville appelée Livingston , et ce fut ma chambre d&apos; enfant .","Parce qu&apos; il y a 30 ans , je suis de Jersey , et j&apos; avais six , et j&apos; ai vécu dans la maison de mes parents dans une ville appelée Livingston , et c&apos; était mon enfance chambre .","Because 30 years ago , I &apos;m from Jersey , and I was six , and I lived there in my parents &apos; house in a town called Livingston , and this was my childhood bedroom ."
518,Juste à côté de ma chambre se trouvait la salle de bains que je partageais avec ma sœur .,Dans le coin de ma chambre était la salle de bain que j&apos; ai utilisée pour partager avec ma sœur .,Dans le coin de ma chambre c&apos; était la salle de bain que j&apos; avais l&apos; habitude de partager avec ma soeur .,"Dans le coin de ma chambre , il y avait la salle de bain que j&apos; ai partagée avec ma sœur .","Juste à côté de ma chambre , il y avait la salle de bain que j&apos; avais l&apos; habitude de partager avec ma sœur .","A l&apos; angle près de ma chambre , il y avait la salle de bain que je partageais avec ma sœur .",Au coin de ma chambre était la salle de bain que je partageais avec ma sœur .,Dans le coin de la chambre il y avait la salle de bain que je partageais avec ma soeur .,Au coin de ma chambre était la salle de bain que j&apos; ai utilisé pour partager avec ma soeur .,Au coin de ma chambre était la salle de bain que je partageais avec ma sœur .,Vers le coin de ma chambre était la salle de bain que j&apos; avais l&apos; habitude de partager avec ma soeur .,Around the corner from my bedroom was the bathroom that I used to share with my sister .
519,Entre ma chambre et la salle de bains se trouvait un balcon qui surplombait le salon .,Et entre ma chambre et la salle de bain était un balcon qui a négligé la chambre familiale .,Et entre ma chambre et la salle de bain était un balcon qui a négligé la salle de famille .,Et entre ma chambre et la salle de bain il y avait un balcon qui donnait sur la salle de séjour .,"Et entre ma chambre et la salle de bain , il y avait un balcon qui surplombait la salle de séjour .",Et entre ma chambre et la salle de bain était un balcon surplombant la salle familiale .,"Et entre ma chambre et la salle de bain , il y avait un balcon qui donnait sur la salle familiale .",Et entre ma chambre et la salle de bain il y avait un balcon qui surplombait le salon .,Et dans entre ma chambre et la salle de bain était un balcon surplombant la salle familiale .,Et entre ma chambre et la salle de bain était un balcon qui donnait sur la salle familiale .,Et dans ma chambre et les toilettes était un balcon que oublié la famille .,And in between my bedroom and the bathroom was a balcony that overlooked the family room .
520,"C&apos; était là où on traînait , où on regardait la télé , donc , à chaque fois que j&apos; allais de ma chambre à la salle de bains , tout le monde me regardait . A chaque fois que je prenais une douche et revenais avec ma serviette , tout le monde me regardait .","Et c&apos; est là que tout le monde trainait et regardait la télé , de sorte que chaque fois que je rentrais de ma chambre à la salle de bain , tout le monde me voyait , et chaque fois que je prenais une douche , je reviendrais dans une serviette , tout le monde me voyait .","Et c&apos; est là que tout le monde et regarde la télé , pour que chaque fois que je sortais de ma chambre à la salle de bain , tout le monde me voyait , et à chaque fois que j&apos; ai pris une douche et que je rentrais dans une serviette , tout le monde me voyait .","Et c&apos; est là que tout le monde traînait et regardait la télé , de sorte que chaque fois que j&apos; allais de ma chambre à la salle de bain , tout le monde me voyait , et chaque fois que je prenais une douche , que je revenais dans une serviette , tout le monde me voyait .","Et c&apos; est là que tout le monde passait du temps et regardait la télé , et donc chaque fois que je sortais de ma chambre pour aller à la salle de bain , tout le monde me voyait , et à chaque fois que j&apos; avais pris une douche et que je revenais entouré d&apos; une serviette , tout le monde me voyait .","Et c&apos; est là que tout le monde pouvait traîner et regarder la télé , de sorte que chaque fois que je marchais de ma chambre à la salle de bain , tout le monde pouvait me voir , et à chaque fois je prenais une douche et revenais dans une serviette , tout le monde me voyait .","Et c&apos; est là que tout le monde se réunissait et regardait la télévision , de sorte que chaque fois que j&apos; allais dans la salle de bain , tout le monde me voyait et à chaque fois que je prenais une douche et que je revenais en serviette , tout le monde me voyait .","Et c&apos; est là que tout le monde passait du temps et regardait la télé , de sorte que chaque fois que je passais de ma chambre à la salle de bain , tout le monde pouvait me voir , et chaque fois que je prenais une douche et que je revenais avec ma serviette enroulée autour de moi , tout le monde pouvait me voir .","Et c&apos; est là que tout le monde pouvait trainer et regarder la télé , de sorte que chaque fois que j&apos; ai marché depuis ma chambre à la salle de bain , tout le monde pouvait me voir , et à chaque fois j&apos; ai pris une douche et reviendrait dans une serviette , tout le monde me verrait .","Et voilà où tout le monde serait traîner et regarder la télévision , de sorte que chaque fois que je suis de ma chambre à la salle de bain , tout le monde me voir , et chaque fois que je pris une douche et je reviendrai dans une serviette , tout le monde me voir .","Et c&apos; est là que les gens y passer du temps et regarder la télé , de sorte que chaque fois que je suis entrée dans ma chambre aux toilettes , tout le monde ne me voir , et chaque fois j&apos; ai pris une douche et revenaient dans une serviette , tout le monde pourrait me voir .","And that &apos;s where everyone would hang out and watch TV , so that every time that I walked from my bedroom to the bathroom , everyone would see me , and every time I took a shower and would come back in a towel , everyone would see me ."
521,Et je ressemblais à ça .,Et j&apos; ai ressemblé à ça .,Et j&apos; ai ressemblé à ça .,Et je ressemblais à ça .,Et je ressemblais à ça .,Et je ressemblais à ça .,Et je ressemblais à ça .,Et je ressemblais à ça .,Et j&apos; ai regardé comme ça .,Et je regardais comme ça .,Et j&apos; ai ressemblait à ça .,And I looked like this .
522,"Je me sentais bizarre , mal à l&apos; aise , et je détestais ça .","J&apos; étais maladroit , en insécurité , et je détestais ça .","J&apos; étais maladroit , incertain , et je détestais ça .","J&apos; étais maladroit , en insécurité , et je détestais ça .","J&apos; étais bizarre , peu sûr de moi et je détestais ça .","J&apos; étais maladroit , peu sûr de moi , et je détestais ça .","J&apos; étais maladroit , peu sûr de moi et je détestais ça .","J&apos; étais gauche , peu sûr de moi , et je détestais ça .","J&apos; étais maladroit , peu sûr de lui , et j&apos; ai détesté ça .","J&apos; étais maladroit , peu sûr , et je détestais ça .","J&apos; étais délicat , en soi , et je l&apos; ai détestée .","I was awkward , insecure , and I hated it ."
523,"Je détestais ce trajet , je détestais ce balcon , je détestais cette chambre , je détestais cette maison .","Je détestais cette marche , je détestais ce balcon , je détestais cette pièce , et je détestais cette maison .","Je détestais cette marche , je détestais ce balcon , je détestais cette chambre , et je détestais cette maison .","Je détestais cette marche , je détestais ce balcon , je détestais cette pièce et je détestais cette maison .","Je détestais cette marche , je détestais ce balcon , je détestais cette chambre , et je détestais cette maison .","Je détestais devoir marcher , je détestais ce balcon , je détestais cette pièce , et je détestais cette maison .","Je détestais cette promenade , je détestais ce balcon , je détestais cette chambre et je détestais cette maison .","Je détestais cette marche , je détestais ce balcon , je détestais cette pièce , et je détestais cette maison .","Je détestais que marcher , je détestais ce balcon , je détestais cette pièce , et j&apos; ai détesté cette maison .","Je détestais cette promenade , je détestais ce balcon , je détestais cette chambre , et je détestais cette maison .","Je déteste ça marche , je déteste ça balcon , je déteste cette pièce , et je déteste cette maison .","I hated that walk , I hated that balcony , I hated that room , and I hated that house ."
524,Et c&apos; est de l&apos; architecture .,Et c&apos; est l&apos; architecture .,Et c&apos; est de l&apos; architecture .,Et c&apos; est ça l&apos; architecture .,Et ça c&apos; est de l&apos; architecture .,Et c&apos; est l&apos; architecture .,Mais c&apos; est ça l&apos; architecture .,Et c&apos; est l&apos; architecture .,Et c&apos; est l&apos; architecture .,Et c&apos; est l&apos; architecture .,Et c&apos; est l&apos; architecture .,And that &apos;s architecture .
525,"Ces sentiments , ces émotions , c&apos; est la force de l&apos; architecture . L&apos; architecture , ce n&apos; est pas que des maths , ni que du zonage . Ce sont ces connexions émotionnelles viscérales que nous ressentons dans les lieux que nous habitons .","Ce sentiment , ces émotions que je ressentais , c&apos; est le pouvoir de l&apos; architecture , parce que l&apos; architecture n&apos; est pas une question de maths , et qu&apos; il ne s&apos; agit pas de zonage , il s&apos; agit de ces connexions viscérales et émotionnelles que nous ressentons dans les endroits que nous occupons .","Ce sentiment , ces émotions que je ressentais , c&apos; est le pouvoir de l&apos; architecture , parce que l&apos; architecture n&apos; est pas une question de maths et il ne s&apos; agit pas de zonage , il s&apos; agit de ces connexions et émotionnelles que nous ressentons dans les endroits que nous occupons .","Ce sentiment , ces émotions que je ressentais , c&apos; est le pouvoir de l&apos; architecture , parce que l&apos; architecture n&apos; est pas une question de maths et il ne s&apos; agit pas de zonage , il s&apos; agit de ces connexions viscérales et émotionnelles que nous ressentons dans les endroits que nous occupons .","Ce sentiment , ces émotions que je ressentais , c&apos; est le pouvoir de l&apos; architecture , parce que l&apos; architecture n&apos; est pas une question de maths et il ne s&apos; agit pas de zonage , il s&apos; agit de ces connexions émotionnelles et viscérales que nous ressentons dans les endroits que nous occupons .","Ce sentiment , ces émotions que j&apos; ai ressenties , c&apos; est le pouvoir de l&apos; architecture , parce que l&apos; architecture n&apos; est pas à propos de maths et il ne s&apos; agit pas de zonage , c&apos; est à propos de ces rapports émotionnels , viscéraux que nous ressentons par rapport aux lieux que nous occupons .","Ce sentiment , ces émotions que je ressentais , c&apos; est le pouvoir de l&apos; architecture , parce que l&apos; architecture ce n&apos; est pas sur les math et sur le zonage , c&apos; est sur ces liens viscéraux , affectifs que nous ressentons dans les lieux que nous occupons .","Cette sensation , ces émotions que je sentais , c&apos; est le pouvoir de l&apos; architecture , parce que l&apos; architecture n&apos; est pas une question de maths et ni une question de zonage , il s&apos; agit de connexions viscérales , émotionnelles que nous ressentons concernant les endroits où nous avons habité .","Ce sentiment , ces émotions que j&apos; ai ressenti , c&apos; est le pouvoir de l&apos; architecture , parce que l&apos; architecture n&apos; est pas à propos de maths et il ne s&apos; agit pas de zonage , c&apos; est à propos de ces viscérale , leurs rapports émotionnels que nous pensons aux lieux qui nous occupent .","Ce sentiment , ces émotions que je ressentais , qui est la puissance de l&apos; architecture , parce que l&apos; architecture est pas sur les mathématiques et il est pas sur le zonage , il est au sujet de ces liens affectifs , viscérales que nous ressentons dans les lieux que nous occupons .","Cette sensation , ces émotions que je me sentais , c&apos; est le pouvoir d&apos; architecture , parce que l&apos; architecture n&apos; est pas en maths et il ne s&apos; agit pas de zonage , c&apos; est à propos de ces viscéral , émotionnel connexions que nous pensons à des endroits qui nous occuper .","That feeling , those emotions that I felt , that &apos;s the power of architecture , because architecture is not about math and it &apos;s not about zoning , it &apos;s about those visceral , emotional connections that we feel to the places that we occupy ."
